Experiment ID                :  TravelingSalesman
Problem Type                 :  TS
Data Input File Name         :  NA
Number of Runs               :  30
Generations per Run          :  100
Population Size              :  40
Selection Method             :  1
Fitness Scaling Type         :  1
Min or Max Fitness           :  min
Crossover Type               :  2
Crossover Rate               :  0.05
Mutation Type                :  2
Mutation Rate                :  0.0
Random Number Seed           :  75982
Number of Genes/Points       :  48
Size of Genes                :  1


 R   3 G   710283.40734  13937.332   3693.365
 R   3 G   810283.40734  12155.306   2788.184
 R   3 G   910283.40734  11249.524   1781.197
 R   3 G  1010283.40734  11103.586    1565.52
 R   3 G  1110283.40734  10949.324   1489.782
 R   3 G  1210283.40734  10943.125   1422.114
 R   3 G  1310283.40734  11275.981   1691.133
 R   3 G  1410283.40734   11295.79   1609.092
 R   3 G  1510283.40734  11331.733   1606.738
 R   3 G  1610283.40734  11000.152   1377.478
 R   3 G  17 7422.13224  11009.654   1699.026
 R   3 G  18 7422.13224  10645.602   1499.693
 R   3 G  19 7422.13224  11197.645   2263.932
 R   3 G  20 7422.13224  11277.729   2440.516
 R   3 G  21 7422.13224    10673.8   2477.022
 R   3 G  22 6421.20891  10361.259   2504.593
 R   3 G  23 7422.13224  10391.793   2147.257
 R   3 G  24 7422.13224   9732.604   1920.237
 R   3 G  25 5092.97388   9414.746   2228.387
 R   3 G  26 5092.97388   8854.431   2200.839
 R   3 G  27 5092.97388   8111.111   1904.344
 R   3 G  28 5092.97388    7234.38   1878.194
 R   3 G  29 5092.97388   6244.853   1606.338
 R   3 G  30 5092.97388   6056.864   1469.142
 R   3 G  31 5092.97388   5807.835   1260.127
 R   3 G  32 5092.97388   5557.089    959.701
 R   3 G  33 4776.63278   5532.969   1173.291
 R   3 G  34 4776.63278   5201.523    518.348
 R   3 G  35 5092.97388   5151.203    368.272
 R   3 G  36 5092.97388   5092.974        0.0
 R   3 G  37 5092.97388   5092.974        0.0
 R   3 G  38 5092.97388   5092.974        0.0
 R   3 G  39 5092.97388   5092.974        0.0
 R   3 G  40 5092.97388   5092.974        0.0
 R   3 G  41 5092.97388   5092.974        0.0
 R   3 G  42 5092.97388   5092.974        0.0
 R   3 G  43 5092.97388   5092.974        0.0
 R   3 G  44 5092.97388   5092.974        0.0
 R   3 G  45 5092.97388   5092.974        0.0
 R   3 G  46 5092.97388   5092.974        0.0
 R   3 G  47 5092.97388   5092.974        0.0
 R   3 G  48 5092.97388   5092.974        0.0
 R   3 G  49 5092.97388   5092.974        0.0
 R   3 G  50 5092.97388   5092.974        0.0
 R   3 G  51 5092.97388   5092.974        0.0
 R   3 G  52 5092.97388   5092.974        0.0
 R   3 G  53 5092.97388   5092.974        0.0
 R   3 G  54 5092.97388   5092.974        0.0
 R   3 G  55 5092.97388   5092.974        0.0
 R   3 G  56 5092.97388   5092.974        0.0
 R   3 G  57 5092.97388   5092.974        0.0
 R   3 G  58 5092.97388   5092.974        0.0
 R   3 G  59 5092.97388   5092.974        0.0
 R   3 G  60 5092.97388   5092.974        0.0
 R   3 G  61 5092.97388   5092.974        0.0
 R   3 G  62 5092.97388   5092.974        0.0
 R   3 G  63 5092.97388   5092.974        0.0
 R   3 G  64 5092.97388   5092.974        0.0
 R   3 G  65 5092.97388   5092.974        0.0
 R   3 G  66 5092.97388   5092.974        0.0
 R   3 G  67 5092.97388   5092.974        0.0
 R   3 G  68 5092.97388   5092.974        0.0
 R   3 G  69 5092.97388   5092.974        0.0
 R   3 G  70 5092.97388   5092.974        0.0
 R   3 G  71 5092.97388   5092.974        0.0
 R   3 G  72 5092.97388   5092.974        0.0
 R   3 G  73 5092.97388   5092.974        0.0
 R   3 G  74 5092.97388   5092.974        0.0
 R   3 G  75 5092.97388   5092.974        0.0
 R   3 G  76 5092.97388   5092.974        0.0
 R   3 G  77 5092.97388   5092.974        0.0
 R   3 G  78 5092.97388   5092.974        0.0
 R   3 G  79 5092.97388   5092.974        0.0
 R   3 G  80 5092.97388   5092.974        0.0
 R   3 G  81 5092.97388   5092.974        0.0
 R   3 G  82 5092.97388   5092.974        0.0
 R   3 G  83 5092.97388   5092.974        0.0
 R   3 G  84 5092.97388   5092.974        0.0
 R   3 G  85 5092.97388   5092.974        0.0
 R   3 G  86 5092.97388   5092.974        0.0
 R   3 G  87 5092.97388   5092.974        0.0
 R   3 G  88 5092.97388   5092.974        0.0
 R   3 G  89 5092.97388   5092.974        0.0
 R   3 G  90 5092.97388   5092.974        0.0
 R   3 G  91 5092.97388   5092.974        0.0
 R   3 G  92 5092.97388   5092.974        0.0
 R   3 G  93 5092.97388   5092.974        0.0
 R   3 G  94 5092.97388   5092.974        0.0
 R   3 G  95 5092.97388   5092.974        0.0
 R   3 G  96 5092.97388   5092.974        0.0
 R   3 G  97 5092.97388   5092.974        0.0
 R   3 G  98 5092.97388   5092.974        0.0
 R   3 G  99 5092.97388   5092.974        0.0
3     33 R   4 G   0 9692.36252  20388.504   5479.523
 R   4 G   1 9692.36252  17677.839   5747.119
 R   4 G   2 9692.36252  15386.529   4274.085
 R   4 G   3 9692.36252  13948.826   3427.137
 R   4 G   4 7862.60992  12919.766   3196.495
 R   4 G   5 7862.60992  12825.323   2416.431
 R   4 G   6 9692.36252  12111.823   2311.511
 R   4 G   7 9692.36252  11917.319   2208.408
 R   4 G   8 9692.36252  11963.744   3252.576
 R   4 G   9 9692.36252  10910.135   1726.552
 R   4 G  10 9692.36252  10605.274   1661.677
 R   4 G  11 9692.36252  10635.709   1904.255
 R   4 G  12 9692.36252  10860.439   2170.582
 R   4 G  13 9692.36252  10278.286   1612.687
 R   4 G  14 9692.36252  10018.168   1206.679
 R   4 G  15 9692.36252  10018.168   1206.679
 R   4 G  16 9692.36252   9758.051    415.449
 R   4 G  17 9692.36252   9758.051    415.449
 R   4 G  18 9692.36252   9758.051    415.449
 R   4 G  19 9692.36252   9823.739    579.952
 R   4 G  20 9692.36252   9823.739    579.952
 R   4 G  21 9692.36252   9889.427    700.885
 R   4 G  22 9692.36252   9889.427    700.885
 R   4 G  23 8478.20387    9982.12   1329.323
 R   4 G  24 8478.20387   9631.655    267.991
 R   4 G  25 8478.20387   9631.655    267.991
 R   4 G  26 8478.20387   9601.301    323.873
 R   4 G  27 8478.20387   9601.301    323.873
 R   4 G  28 8478.20387   9449.531    491.851
 R   4 G  29 8478.20387   9328.115    563.486
 R   4 G  30 8478.20387   9388.823    532.444
 R   4 G  31 8478.20387   9388.823    532.444
 R   4 G  32 8478.20387    9464.31    594.811
 R   4 G  33 8478.20387   9403.602    630.254
 R   4 G  34 8478.20387   9261.556    764.908
 R   4 G  35 8478.20387   9351.101   1130.547
 R   4 G  36 8478.20387   9128.168    1033.36
 R   4 G  37 8478.20387   8893.571    667.296
 R   4 G  38 8478.20387   8845.431    576.139
 R   4 G  39 8478.20387   8906.139    598.352
 R   4 G  40 8478.20387   8786.798    542.181
 R   4 G  41 8478.20387   8756.444    523.861
 R   4 G  42 8478.20387   8665.382    452.217
 R   4 G  43 8478.20387   8675.491    477.271
 R   4 G  44 7704.11467   8637.226     465.62
 R   4 G  45 7704.11467   8564.418    478.143
 R   4 G  46 7704.11467   8480.855    348.834
 R   4 G  47 7704.11467   8411.797    331.811
 R   4 G  48 7704.11467   8381.443    259.267
 R   4 G  49 7704.11467   8265.329    350.045
 R   4 G  50 7704.11467   8284.682    339.461
 R   4 G  51 7704.11467   8323.386     313.58
 R   4 G  52 7704.11467   8226.625    367.183
 R   4 G  53 7704.11467   8149.216     387.54
 R   4 G  54 7704.11467   8149.216     387.54
 R   4 G  55 7704.11467   8245.977    359.251
 R   4 G  56 7704.11467   8304.034    327.364
 R   4 G  57 7704.11467   8342.738    297.875
 R   4 G  58 7704.11467    8362.09    279.926
 R   4 G  59 7704.11467   8420.147    206.486
 R   4 G  60 7704.11467   8381.443    259.267
 R   4 G  61 7704.11467   8342.738    297.875
 R   4 G  62 7704.11467   8480.133    927.887
 R   4 G  63 7704.11467   8565.604   1133.711
 R   4 G  64 7704.11467   8524.703   1078.015
 R   4 G  65 7704.11467   8615.397    946.354
 R   4 G  66 7704.11467   8536.589    755.049
 R   4 G  67 7176.78305   8519.535    893.069
 R   4 G  68 7176.78305   8457.206     747.26
 R   4 G  69 7176.78305   8387.807    746.546
 R   4 G  70 7176.78305   8302.485     610.83
 R   4 G  71 7704.11467   8533.006     676.36
 R   4 G  72 7704.11467   8774.387    806.621
 R   4 G  73 7704.11467   8572.355    721.915
 R   4 G  74 7704.11467   8312.759    653.148
 R   4 G  75 7704.11467   8228.373    517.029
 R   4 G  76 7704.11467    8152.16    492.364
 R   4 G  77 6829.01462   8005.622    417.056
 R   4 G  78 6829.01462   8032.249    470.342
 R   4 G  79 6829.01462   7928.766    487.455
 R   4 G  80 6829.01462   7956.624    846.396
 R   4 G  81 6829.01462   7788.249    494.534
 R   4 G  82 6829.01462   7766.372    517.189
 R   4 G  83 6829.01462   7596.402    588.767
 R   4 G  84 6829.01462   7428.958    577.044
 R   4 G  85 6829.01462     7400.2    751.346
 R   4 G  86 6829.01462   7415.975    657.024
 R   4 G  87 6829.01462   7286.879    593.547
 R   4 G  88 6829.01462   7243.124    593.429
 R   4 G  89 6829.01462   7190.271    547.401
 R   4 G  90 6829.01462   7073.048    406.336
 R   4 G  91 6829.01462   7097.807    459.016
 R   4 G  92 6829.01462   7026.411      328.6
 R   4 G  93 6829.01462   7064.759    348.865
 R   4 G  94 6829.01462   7124.985    373.181
 R   4 G  95 6829.01462   7366.209    686.557
 R   4 G  96 6829.01462   7262.009    707.069
 R   4 G  97 6829.01462    7294.95    701.309
 R   4 G  98 6829.01462     7314.3    810.397
 R   4 G  99 6829.01462   7297.829    813.469
4     77 R   5 G   0 9424.22394  20228.111   5790.945
 R   5 G   1 9424.22394  19628.531   5669.404
 R   5 G   2 9424.22394  18725.427   5953.899
 R   5 G   3 9424.22394   17095.28   5460.891
 R   5 G   4 9424.22394  15022.273   4606.863
 R   5 G   5 9424.22394  12733.918   3309.215
 R   5 G   6 9424.22394  11796.447   3331.421
 R   5 G   7 9424.22394   11729.01   2965.609
 R   5 G   8 9424.22394  11471.094   2401.779
 R   5 G   9 9424.22394  10832.179   2262.528
 R   5 G  10 8387.62807  10620.505   2145.893
 R   5 G  11 8387.62807  10675.261   2204.279
 R   5 G  12 8387.62807   10332.09   2146.542
 R   5 G  13 8387.62807   10332.09   2146.542
 R   5 G  14 8387.62807  10511.152   2248.174
 R   5 G  15 8387.62807  10606.288    2358.42
 R   5 G  16 6054.62848  11080.471   3238.073
 R   5 G  17 8387.62807  10211.684   2250.432
 R   5 G  18 8387.62807   10280.26   2180.943
 R   5 G  19 6336.03879   9340.194   1088.642
 R   5 G  20 6336.03879   9236.535   1125.372
 R   5 G  21 6336.03879   8933.461    872.986
 R   5 G  22 6336.03879   8804.427    956.435
 R   5 G  23 6336.03879   8881.091    774.464
 R   5 G  24 6336.03879   8804.427    956.435
 R   5 G  25 6336.03879   8804.967   1037.947
 R   5 G  26 6336.03879    8425.76   1232.924
 R   5 G  27 6336.03879   7909.883   1331.794
 R   5 G  28 6336.03879   7734.353   1252.972
 R   5 G  29 2717.62223   7335.626   1440.847
 R   5 G  30  2193.3193     6770.2   1971.905
 R   5 G  31  2193.3193   6088.719   2124.703
 R   5 G  32  2193.3193    4845.09   2278.858
 R   5 G  33  2193.3193   3799.159   1855.511
 R   5 G  34  2193.3193   3114.646   1281.536
 R   5 G  35  2193.3193   2885.435    805.976
 R   5 G  36  2193.3193   2794.975    580.197
 R   5 G  37  2193.3193   2691.407    115.725
 R   5 G  38 2717.62223   2717.622        0.0
 R   5 G  39 2717.62223   2717.622        0.0
 R   5 G  40 2717.62223   2717.622        0.0
 R   5 G  41 2717.62223   2717.622        0.0
 R   5 G  42 2717.62223   2717.622        0.0
 R   5 G  43 2717.62223   2717.622        0.0
 R   5 G  44 2717.62223   2717.622        0.0
 R   5 G  45 2717.62223   2717.622        0.0
 R   5 G  46 2717.62223   2717.622        0.0
 R   5 G  47 2717.62223   2717.622        0.0
 R   5 G  48 2717.62223   2717.622        0.0
 R   5 G  49 2717.62223   2717.622        0.0
 R   5 G  50 2717.62223   2717.622        0.0
 R   5 G  51 2717.62223   2717.622        0.0
 R   5 G  52 2717.62223   2717.622        0.0
 R   5 G  53 2717.62223   2717.622        0.0
 R   5 G  54 2717.62223   2717.622        0.0
 R   5 G  55 2717.62223   2717.622        0.0
 R   5 G  56 2717.62223   2717.622        0.0
 R   5 G  57 2717.62223   2717.622        0.0
 R   5 G  58 2717.62223   2717.622        0.0
 R   5 G  59 2717.62223   2717.622        0.0
 R   5 G  60 2717.62223   2717.622        0.0
 R   5 G  61 2717.62223   2717.622        0.0
 R   5 G  62 2717.62223   2717.622        0.0
 R   5 G  63 2717.62223   2717.622        0.0
 R   5 G  64 2717.62223   2717.622        0.0
 R   5 G  65 2717.62223   2717.622        0.0
 R   5 G  66 2717.62223   2717.622        0.0
 R   5 G  67 2717.62223   2717.622        0.0
 R   5 G  68 2717.62223   2717.622        0.0
 R   5 G  69 2717.62223   2717.622        0.0
